resume_skills,jd_skills,projects,internships,certifications,cgpa,ats_score
data visualization python tableau sql,python sql power bi excel tableau statistics data visualization,4,1,5,7.6,65.16
tensorflow numpy pandas,python machine learning statistics pandas numpy tensorflow data analysis,1,2,3,7.1,48.19
data analysis numpy statistics oops machine learning pandas python tensorflow,python machine learning statistics pandas numpy tensorflow data analysis,4,2,3,8.4,97.7
react css express nodejs linux vector database javascript html,react nodejs mongodb javascript html css express,4,1,1,7.3,80.44
react mongodb express nodejs deep learning,react nodejs mongodb javascript html css express,1,2,0,9.7,55.71
data analysis numpy llm statistics machine learning tensorflow python pandas,python machine learning statistics pandas numpy tensorflow data analysis,2,3,2,9.4,95.7
statistics python data analysis nodejs,python machine learning statistics pandas numpy tensorflow data analysis,5,2,0,9.8,53.04
docker linux jenkins terraform,docker kubernetes linux jenkins terraform github actions,4,2,3,6.9,59.45
rag tableau jenkins vector database,python llm rag langchain transformers vector database prompt engineering,2,3,5,6.6,45.23
linux aws gcp,aws azure gcp cloud security terraform linux,1,1,3,6.8,50.4
system design sql kubernetes aws oops java dbms,java dsa oops dbms system design sql,3,1,0,9.4,76.2
rag mongodb prompt engineering llm transformers vector database python,python llm rag langchain transformers vector database prompt engineering,5,2,2,7.9,76.52
rag docker prompt engineering llm langchain transformers vector database,python llm rag langchain transformers vector database prompt engineering,2,1,4,7.6,81.09
cloud security gcp azure,aws azure gcp cloud security terraform linux,2,2,0,8.5,51.75
system design sql tableau oops java dsa dbms,java dsa oops dbms system design sql,3,2,5,7.9,98.45
react mongodb express nodejs html,react nodejs mongodb javascript html css express,5,1,4,9.6,77.37
rag python vector database,python llm rag langchain transformers vector database prompt engineering,4,0,3,8.3,48.79
system design data analysis dsa java mlops dbms,java dsa oops dbms system design sql,1,0,1,7.8,57.4
azure cloud security aws terraform gcp,aws azure gcp cloud security terraform linux,1,2,3,9.2,79.6
java aws terraform azure,aws azure gcp cloud security terraform linux,3,2,3,8.4,58.2
python langchain vector database,python llm rag langchain transformers vector database prompt engineering,3,0,3,8.9,47.09
rag prompt engineering llm transformers vector database python,python llm rag langchain transformers vector database prompt engineering,2,1,2,8.3,78.44
azure cloud security aws linux terraform gcp vector database,aws azure gcp cloud security terraform linux,3,0,5,8.0,92.5
data analysis mlops deep learning computer vision oops nlp python pytorch,python tensorflow pytorch deep learning nlp computer vision mlops,4,0,2,7.9,79.24
kubernetes docker linux terraform jenkins excel,docker kubernetes linux jenkins terraform github actions,1,3,3,6.8,81.4
github actions machine learning data analysis langchain,python machine learning statistics pandas numpy tensorflow data analysis,2,0,3,8.3,34.08
statistics tensorflow pandas,python machine learning statistics pandas numpy tensorflow data analysis,5,2,3,8.6,56.94
system design sql oops java dsa dbms,java dsa oops dbms system design sql,3,0,1,9.4,87.2
github actions kubernetes data analysis linux terraform,docker kubernetes linux jenkins terraform github actions,2,2,0,6.5,63.25
prompt engineering numpy statistics machine learning tensorflow python pandas,python machine learning statistics pandas numpy tensorflow data analysis,1,0,0,6.9,69.74
numpy statistics machine learning tensorflow python pandas,python machine learning statistics pandas numpy tensorflow data analysis,5,1,1,7.0,82.29
kubernetes mlops deep learning computer vision pytorch nlp python tensorflow,python tensorflow pytorch deep learning nlp computer vision mlops,1,1,1,9.2,86.1
rag system design prompt engineering transformers python,python llm rag langchain transformers vector database prompt engineering,4,3,1,9.3,66.01
machine learning pandas numpy tensorflow,python machine learning statistics pandas numpy tensorflow data analysis,2,0,2,6.7,53.21
express nodejs react css,react nodejs mongodb javascript html css express,4,2,0,7.2,60.46
data analysis numpy statistics tensorflow pandas,python machine learning statistics pandas numpy tensorflow data analysis,2,1,5,8.6,72.37
rag python langchain,python llm rag langchain transformers vector database prompt engineering,4,2,1,8.0,40.93
deep learning computer vision nlp data visualization tensorflow,python tensorflow pytorch deep learning nlp computer vision mlops,2,1,0,7.7,42.99
github actions azure cloud security aws linux terraform,aws azure gcp cloud security terraform linux,2,1,1,7.9,74.95
power bi tableau statistics data visualization python excel,python sql power bi excel tableau statistics data visualization,5,1,4,8.3,87.44
data analysis numpy statistics machine learning python tensorflow,python machine learning statistics pandas numpy tensorflow data analysis,1,3,4,9.2,85.89
system design data analysis nodejs dsa dbms,java dsa oops dbms system design sql,5,3,4,9.7,67.35
cloud security linux gcp kubernetes,aws azure gcp cloud security terraform linux,3,2,4,8.3,47.15
azure sql nlp pytorch,python tensorflow pytorch deep learning nlp computer vision mlops,3,0,0,8.5,31.68
github actions kubernetes docker linux jenkins javascript,docker kubernetes linux jenkins terraform github actions,2,2,5,9.6,84.8
express react github actions javascript,react nodejs mongodb javascript html css express,5,3,3,8.7,59.99
cloud security linux,aws azure gcp cloud security terraform linux,4,2,4,9.3,49.65
azure linux aws gcp terraform,aws azure gcp cloud security terraform linux,4,2,1,7.4,81.7
cloud security aws langchain azure,aws azure gcp cloud security terraform linux,5,2,4,7.0,63.0
github actions kubernetes docker linux terraform jenkins,docker kubernetes linux jenkins terraform github actions,2,2,4,8.9,95.45
statistics python excel,python sql power bi excel tableau statistics data visualization,5,0,4,8.8,52.54
data analysis statistics mlops machine learning pandas python tensorflow,python machine learning statistics pandas numpy tensorflow data analysis,1,3,3,7.4,83.49
mlops deep learning computer vision nlp pytorch python tensorflow,python tensorflow pytorch deep learning nlp computer vision mlops,3,3,3,7.1,98.05
dbms terraform gcp azure,aws azure gcp cloud security terraform linux,4,3,5,6.7,65.35
mlops deep learning power bi docker,python tensorflow pytorch deep learning nlp computer vision mlops,3,1,1,8.0,35.93
mongodb react,react nodejs mongodb javascript html css express,2,0,3,9.7,34.78
docker terraform kubernetes,docker kubernetes linux jenkins terraform github actions,5,0,5,8.5,59.25
cloud security power bi gcp pandas,aws azure gcp cloud security terraform linux,5,0,3,6.6,42.8
express nodejs javascript,react nodejs mongodb javascript html css express,3,3,5,8.4,58.84
mongodb dbms react gcp,react nodejs mongodb javascript html css express,3,1,1,8.5,36.18
statistics machine learning data analysis tensorflow,python machine learning statistics pandas numpy tensorflow data analysis,3,3,2,7.9,64.81
react mongodb express nodejs vector database javascript html,react nodejs mongodb javascript html css express,4,3,5,8.6,93.09
mongodb nodejs css html,react nodejs mongodb javascript html css express,5,1,5,8.5,67.61
azure cloud security aws terraform gcp,aws azure gcp cloud security terraform linux,2,2,4,7.0,82.0
rag css prompt engineering langchain llm mlops transformers vector database python,python llm rag langchain transformers vector database prompt engineering,1,1,4,9.4,90.7
azure linux terraform gcp,aws azure gcp cloud security terraform linux,4,3,4,6.5,76.25
docker aws gcp azure,aws azure gcp cloud security terraform linux,4,2,1,9.0,45.0
mlops deep learning computer vision nlp tensorflow python pytorch,python tensorflow pytorch deep learning nlp computer vision mlops,5,1,4,8.2,98.1
gcp mlops deep learning computer vision nlp tensorflow data visualization python pytorch,python tensorflow pytorch deep learning nlp computer vision mlops,4,1,5,7.2,97.1
python transformers llm vector database,python llm rag langchain transformers vector database prompt engineering,2,1,0,8.2,53.96
system design cloud security dsa java oops dbms vector database,java dsa oops dbms system design sql,1,3,0,8.7,77.85
statistics python data analysis tensorflow,python machine learning statistics pandas numpy tensorflow data analysis,3,2,2,7.0,61.36
numpy mlops deep learning computer vision nlp pytorch tensorflow,python tensorflow pytorch deep learning nlp computer vision mlops,2,0,3,8.4,76.99
react azure linux terraform gcp,aws azure gcp cloud security terraform linux,2,1,0,9.0,61.5
python prompt engineering transformers,python llm rag langchain transformers vector database prompt engineering,5,2,2,6.7,54.49
rag langchain javascript transformers vector database python,python llm rag langchain transformers vector database prompt engineering,1,0,0,8.7,59.92
oops java dbms pandas,java dsa oops dbms system design sql,3,3,4,9.2,63.1
github actions kubernetes docker terraform jenkins,docker kubernetes linux jenkins terraform github actions,5,3,1,6.8,73.9
docker tableau terraform,docker kubernetes linux jenkins terraform github actions,2,1,0,7.7,35.85
github actions kubernetes docker linux terraform jenkins,docker kubernetes linux jenkins terraform github actions,1,0,5,7.7,88.35
rag system design sql dsa java oops dbms javascript,java dsa oops dbms system design sql,1,3,3,8.5,94.75
rag llm transformers python html,python llm rag langchain transformers vector database prompt engineering,4,1,1,7.2,58.96
statistics python computer vision terraform,python sql power bi excel tableau statistics data visualization,2,2,1,7.2,36.53
docker deep learning linux terraform,docker kubernetes linux jenkins terraform github actions,3,3,0,9.1,57.05
rag prompt engineering transformers nlp python,python llm rag langchain transformers vector database prompt engineering,4,1,2,8.3,61.01
rag prompt engineering langchain transformers vector database python,python llm rag langchain transformers vector database prompt engineering,4,1,2,9.7,83.14
data analysis machine learning tensorflow python pandas,python machine learning statistics pandas numpy tensorflow data analysis,5,1,3,9.0,64.86
data analysis css pandas,python machine learning statistics pandas numpy tensorflow data analysis,5,0,3,6.7,39.28
azure tableau aws statistics data visualization python excel,python sql power bi excel tableau statistics data visualization,2,1,1,7.0,65.57
power bi azure aws linux terraform gcp nlp,aws azure gcp cloud security terraform linux,4,3,3,9.8,88.9
mongodb react css javascript,react nodejs mongodb javascript html css express,1,3,0,8.2,57.96
cloud security linux aws gcp numpy python,aws azure gcp cloud security terraform linux,5,2,0,9.6,70.8
rag prompt engineering,python llm rag langchain transformers vector database prompt engineering,2,2,4,7.6,41.23
transformers linux css terraform,docker kubernetes linux jenkins terraform github actions,2,1,3,9.2,41.1
mlops computer vision pytorch nlp python excel tensorflow,python tensorflow pytorch deep learning nlp computer vision mlops,2,2,0,7.0,77.79
rag system design sql oops java dsa,java dsa oops dbms system design sql,5,3,1,7.8,86.9
mlops deep learning computer vision dbms excel pytorch,python tensorflow pytorch deep learning nlp computer vision mlops,3,3,4,9.5,68.61
power bi sql statistics machine learning data visualization python excel,python sql power bi excel tableau statistics data visualization,4,1,1,7.0,80.29
prompt engineering langchain llm vector database python,python llm rag langchain transformers vector database prompt engineering,1,0,4,8.8,65.97
rag llm mlops deep learning computer vision nlp tensorflow python pytorch,python tensorflow pytorch deep learning nlp computer vision mlops,3,1,3,7.4,92.2
github actions nodejs mlops deep learning computer vision nlp tensorflow python pytorch,python tensorflow pytorch deep learning nlp computer vision mlops,3,3,2,6.9,96.45
data analysis numpy machine learning python pandas,python machine learning statistics pandas numpy tensorflow data analysis,4,0,2,7.7,68.42
github actions linux jenkins terraform,docker kubernetes linux jenkins terraform github actions,2,0,1,9.1,60.05
aws linux,aws azure gcp cloud security terraform linux,1,2,5,9.4,45.2
power bi sql statistics transformers data visualization python,python sql power bi excel tableau statistics data visualization,3,3,2,6.8,74.97
system design sql cloud security dsa java oops dbms,java dsa oops dbms system design sql,5,2,3,7.9,99.45
rag kubernetes data analysis numpy tensorflow,python machine learning statistics pandas numpy tensorflow data analysis,3,2,4,9.4,54.84
data analysis numpy terraform machine learning tensorflow python pandas,python machine learning statistics pandas numpy tensorflow data analysis,5,2,2,8.2,87.39
statistics machine learning pandas tensorflow,python machine learning statistics pandas numpy tensorflow data analysis,5,1,5,9.6,57.44
python machine learning data analysis numpy,python machine learning statistics pandas numpy tensorflow data analysis,5,0,2,8.7,60.21
power bi data analysis numpy statistics transformers machine learning tensorflow python pandas,python machine learning statistics pandas numpy tensorflow data analysis,3,1,2,9.4,91.7
data analysis linux numpy statistics mlops machine learning python pandas,python machine learning statistics pandas numpy tensorflow data analysis,3,0,4,7.8,80.19
nodejs css javascript,react nodejs mongodb javascript html css express,3,0,3,8.1,46.69
power bi aws linux statistics data visualization excel,python sql power bi excel tableau statistics data visualization,2,0,2,6.9,53.31
prompt engineering llm,python llm rag langchain transformers vector database prompt engineering,1,1,1,9.2,32.53
mlops deep learning computer vision nlp pytorch python tensorflow,python tensorflow pytorch deep learning nlp computer vision mlops,1,2,0,7.7,86.85
data analysis statistics machine learning python pandas,python machine learning statistics pandas numpy tensorflow data analysis,1,3,2,8.2,71.67
power bi sql tableau statistics jenkins python excel,python sql power bi excel tableau statistics data visualization,3,2,4,8.5,86.54
github actions kubernetes docker linux terraform jenkins html,docker kubernetes linux jenkins terraform github actions,5,0,0,7.0,88.5
sql tableau dsa java oops deep learning dbms,java dsa oops dbms system design sql,5,3,0,6.5,84.75
mlops python nlp deep learning,python tensorflow pytorch deep learning nlp computer vision mlops,5,1,0,8.1,59.91
docker terraform,docker kubernetes linux jenkins terraform github actions,2,0,4,9.2,39.6
data analysis computer vision nlp tensorflow data visualization python pytorch,python tensorflow pytorch deep learning nlp computer vision mlops,3,0,1,8.0,65.07
rag jenkins langchain vector database,python llm rag langchain transformers vector database prompt engineering,5,3,5,8.5,62.89
docker github actions jenkins terraform,docker kubernetes linux jenkins terraform github actions,1,0,2,6.8,58.4
prompt engineering statistics machine learning tensorflow dbms python pandas,python machine learning statistics pandas numpy tensorflow data analysis,2,3,2,7.3,73.22
transformers pandas llm vector database,python llm rag langchain transformers vector database prompt engineering,5,2,1,8.6,53.94
github actions kubernetes docker data analysis linux terraform jenkins,docker kubernetes linux jenkins terraform github actions,5,1,2,7.4,94.7
github actions kubernetes docker azure terraform jenkins,docker kubernetes linux jenkins terraform github actions,1,1,4,6.7,76.85
css azure aws gcp terraform,aws azure gcp cloud security terraform linux,5,1,5,9.3,75.15
python computer vision deep learning tensorflow,python tensorflow pytorch deep learning nlp computer vision mlops,3,2,5,9.0,66.86
mlops deep learning computer vision tensorflow python pytorch,python tensorflow pytorch deep learning nlp computer vision mlops,5,1,0,8.6,81.59
power bi tableau statistics data visualization python excel,python sql power bi excel tableau statistics data visualization,5,2,2,7.4,86.99
cloud security linux nodejs gcp,aws azure gcp cloud security terraform linux,5,0,4,7.2,57.1
rag dbms llm,python llm rag langchain transformers vector database prompt engineering,4,2,4,8.4,45.63
prompt engineering llm langchain mlops vector database data visualization,python llm rag langchain transformers vector database prompt engineering,2,1,4,7.1,59.41
statistics numpy tensorflow,python machine learning statistics pandas numpy tensorflow data analysis,2,1,0,6.7,42.49
azure cloud security aws gcp terraform html,aws azure gcp cloud security terraform linux,4,1,0,6.7,76.85
deep learning computer vision transformers,python tensorflow pytorch deep learning nlp computer vision mlops,2,2,5,6.5,42.18
rag react css mongodb express nodejs jenkins html,react nodejs mongodb javascript html css express,1,1,4,7.4,78.99
react css express tableau machine learning,react nodejs mongodb javascript html css express,5,2,3,9.1,57.19
python langchain llm transformers,python llm rag langchain transformers vector database prompt engineering,1,0,3,8.2,53.46
sql prompt engineering oops java dsa statistics dbms,java dsa oops dbms system design sql,5,0,2,6.6,78.8
gcp mlops computer vision nlp tensorflow pytorch,python tensorflow pytorch deep learning nlp computer vision mlops,2,3,4,7.1,76.12
computer vision nlp tensorflow python pytorch,python tensorflow pytorch deep learning nlp computer vision mlops,5,3,0,8.6,76.87
data visualization power bi excel kubernetes,python sql power bi excel tableau statistics data visualization,5,2,2,8.6,55.44
dsa sql dbms,java dsa oops dbms system design sql,4,3,4,6.9,63.95
power bi excel sql,python sql power bi excel tableau statistics data visualization,1,1,0,8.6,41.44
machine learning numpy tensorflow,python machine learning statistics pandas numpy tensorflow data analysis,3,0,3,9.2,47.24
github actions kubernetes docker data analysis linux terraform llm jenkins,docker kubernetes linux jenkins terraform github actions,4,1,3,8.0,94.5
dsa dbms,java dsa oops dbms system design sql,5,0,1,9.4,41.2
power bi sql llm data visualization python excel,python sql power bi excel tableau statistics data visualization,4,2,2,8.5,74.82
azure cloud security aws terraform gcp,aws azure gcp cloud security terraform linux,5,2,1,8.5,84.25
rag docker prompt engineering llm langchain transformers vector database python,python llm rag langchain transformers vector database prompt engineering,4,1,3,8.0,94.5
python machine learning tableau,python machine learning statistics pandas numpy tensorflow data analysis,4,2,1,6.9,40.38
system design sql dsa java dbms,java dsa oops dbms system design sql,2,3,3,8.7,84.35
github actions kubernetes docker terraform excel tensorflow,docker kubernetes linux jenkins terraform github actions,2,2,5,7.3,71.15
react css mongodb express nodejs javascript html,react nodejs mongodb javascript html css express,1,3,3,9.3,95.15
system design sql dsa oops java dbms,java dsa oops dbms system design sql,5,2,0,9.3,95.65
github actions linux llm kubernetes,docker kubernetes linux jenkins terraform github actions,2,0,2,6.7,47.85
mongodb nodejs,react nodejs mongodb javascript html css express,4,2,5,8.9,47.38
docker pandas jenkins kubernetes,docker kubernetes linux jenkins terraform github actions,3,3,3,8.7,61.35
computer vision nlp tensorflow pytorch,python tensorflow pytorch deep learning nlp computer vision mlops,1,3,1,7.3,59.01
oops dsa java dbms,java dsa oops dbms system design sql,3,1,3,7.9,67.45
rag prompt engineering langchain llm vector database python,python llm rag langchain transformers vector database prompt engineering,2,1,3,8.2,79.89
linux tableau gcp azure,aws azure gcp cloud security terraform linux,2,1,4,7.1,54.05
docker python sql html,python sql power bi excel tableau statistics data visualization,3,2,2,7.7,40.28
rag prompt engineering llm langchain gcp transformers vector database python,python llm rag langchain transformers vector database prompt engineering,5,3,3,8.7,100.0
python prompt engineering langchain,python llm rag langchain transformers vector database prompt engineering,1,1,2,7.4,43.84
system design sql azure oops java dsa dbms,java dsa oops dbms system design sql,1,0,0,9.0,81.5
power bi sql tableau statistics java data visualization python excel,python sql power bi excel tableau statistics data visualization,5,2,2,8.6,98.3
express react nodejs javascript,react nodejs mongodb javascript html css express,5,0,0,7.1,56.41
github actions kubernetes docker linux terraform java,docker kubernetes linux jenkins terraform github actions,1,2,2,7.5,77.25
rag github actions prompt engineering llm langchain tensorflow,python llm rag langchain transformers vector database prompt engineering,4,0,3,8.6,59.66
github actions azure aws linux gcp terraform,aws azure gcp cloud security terraform linux,4,2,0,8.2,80.6
css mongodb express nodejs javascript html,react nodejs mongodb javascript html css express,1,2,3,6.6,80.09
kubernetes linux deep learning nlp python pytorch,python tensorflow pytorch deep learning nlp computer vision mlops,1,1,1,8.8,53.76
github actions jenkins kubernetes,docker kubernetes linux jenkins terraform github actions,1,1,2,9.1,50.05
mlops computer vision oops,python tensorflow pytorch deep learning nlp computer vision mlops,3,1,0,9.7,35.28
azure cloud security linux aws gcp terraform statistics,aws azure gcp cloud security terraform linux,2,2,5,8.2,96.6
data analysis numpy machine learning pandas python tensorflow,python machine learning statistics pandas numpy tensorflow data analysis,2,0,1,8.0,73.79
aws github actions linux tableau,docker kubernetes linux jenkins terraform github actions,3,1,2,8.6,41.3
express transformers css javascript,react nodejs mongodb javascript html css express,1,1,4,9.4,47.84
mlops deep learning computer vision tensorflow,python tensorflow pytorch deep learning nlp computer vision mlops,2,2,3,8.3,61.51
react css mongodb express nodejs javascript data visualization html,react nodejs mongodb javascript html css express,3,0,3,9.6,90.3
deep learning computer vision nlp pytorch tensorflow,python tensorflow pytorch deep learning nlp computer vision mlops,3,2,1,6.6,59.66
react css nodejs tableau javascript,react nodejs mongodb javascript html css express,2,2,0,8.0,56.86
css azure cloud security aws gcp terraform,aws azure gcp cloud security terraform linux,3,3,1,6.8,82.4
mlops linux aws,aws azure gcp cloud security terraform linux,3,1,3,8.3,42.65
data analysis numpy statistics machine learning tensorflow python pandas,python machine learning statistics pandas numpy tensorflow data analysis,2,1,5,9.5,94.25
github actions terraform kubernetes,docker kubernetes linux jenkins terraform github actions,1,3,1,7.5,53.75
oops system design statistics dbms,java dsa oops dbms system design sql,4,3,2,9.1,49.55
system design statistics machine learning pytorch python tensorflow,python machine learning statistics pandas numpy tensorflow data analysis,4,2,3,9.6,66.16
machine learning linux numpy tensorflow,python machine learning statistics pandas numpy tensorflow data analysis,1,1,1,6.6,41.94
react css mongodb express nodejs html,react nodejs mongodb javascript html css express,2,3,5,8.4,78.27
llm nlp vector database tensorflow,python tensorflow pytorch deep learning nlp computer vision mlops,3,3,3,8.4,45.13
statistics python numpy,python machine learning statistics pandas numpy tensorflow data analysis,5,0,0,9.4,46.84
system design sql dsa oops java dbms,java dsa oops dbms system design sql,5,0,4,7.9,82.45
rag data analysis machine learning python tensorflow,python machine learning statistics pandas numpy tensorflow data analysis,1,2,1,6.5,55.61
power bi sql tableau statistics deep learning data visualization python excel,python sql power bi excel tableau statistics data visualization,2,0,3,8.3,87.65
sql data analysis numpy statistics machine learning pandas python excel tensorflow,python machine learning statistics pandas numpy tensorflow data analysis,5,2,2,8.7,98.35
system design sql oops java html,java dsa oops dbms system design sql,4,2,3,6.8,71.9
python machine learning data analysis computer vision,python machine learning statistics pandas numpy tensorflow data analysis,2,0,2,8.6,43.44
rag prompt engineering langchain transformers vector database python,python llm rag langchain transformers vector database prompt engineering,5,0,1,9.5,80.54
mongodb transformers pandas python tensorflow,python machine learning statistics pandas numpy tensorflow data analysis,2,2,1,7.5,47.39
numpy linux terraform html,docker kubernetes linux jenkins terraform github actions,1,3,4,8.7,46.35
rag prompt engineering langchain llm transformers dbms vector database python excel,python llm rag langchain transformers vector database prompt engineering,1,1,2,7.6,86.8
system design sql aws dsa java,java dsa oops dbms system design sql,3,3,3,9.6,74.3
cloud security aws gcp azure,aws azure gcp cloud security terraform linux,1,1,0,8.1,59.05
power bi sql express tableau statistics data visualization python excel,python sql power bi excel tableau statistics data visualization,2,1,4,7.5,91.75
prompt engineering llm langchain vector database python,python llm rag langchain transformers vector database prompt engineering,1,2,4,9.7,72.42
power bi tableau data visualization python excel,python sql power bi excel tableau statistics data visualization,2,1,0,7.7,64.42
power bi tableau,python sql power bi excel tableau statistics data visualization,3,3,5,9.6,48.73
pandas power bi tableau tensorflow,python sql power bi excel tableau statistics data visualization,1,0,2,7.3,30.08
python numpy,python machine learning statistics pandas numpy tensorflow data analysis,4,0,0,8.2,33.53
express system design sql dbms,java dsa oops dbms system design sql,3,2,4,8.9,59.95
sql numpy statistics machine learning python,python machine learning statistics pandas numpy tensorflow data analysis,5,3,2,8.0,68.86
statistics excel sql mlops,python sql power bi excel tableau statistics data visualization,4,3,3,7.7,46.78
system design azure cloud security aws linux gcp,aws azure gcp cloud security terraform linux,1,0,3,8.0,73.0
react mongodb express nodejs javascript html,react nodejs mongodb javascript html css express,3,0,5,7.3,81.44
dsa java system design dbms,java dsa oops dbms system design sql,3,0,5,9.5,68.25
system design sql dsa java oops dbms,java dsa oops dbms system design sql,4,1,2,8.3,93.15
statistics machine learning pandas data visualization python tensorflow,python machine learning statistics pandas numpy tensorflow data analysis,3,1,0,6.8,65.97
mongodb html,react nodejs mongodb javascript html css express,5,2,0,9.6,42.23
rag prompt engineering llm vector database,python llm rag langchain transformers vector database prompt engineering,5,0,2,7.3,59.51
github actions terraform kubernetes,docker kubernetes linux jenkins terraform github actions,2,0,2,7.9,48.45
system design sql css dsa jenkins,java dsa oops dbms system design sql,5,2,3,7.3,61.65
github actions jenkins terraform kubernetes,docker kubernetes linux jenkins terraform github actions,1,2,4,6.9,67.45
oops dsa dbms,java dsa oops dbms system design sql,3,3,5,9.6,64.8
python terraform data analysis numpy,python machine learning statistics pandas numpy tensorflow data analysis,3,0,5,9.5,50.39
github actions terraform kubernetes,docker kubernetes linux jenkins terraform github actions,1,1,3,9.2,51.6
cloud security aws excel azure,aws azure gcp cloud security terraform linux,1,3,5,6.8,46.9
dsa sql,java dsa oops dbms system design sql,1,1,4,9.1,40.55
rag prompt engineering langchain llm numpy transformers vector database python,python llm rag langchain transformers vector database prompt engineering,2,1,4,7.6,81.09
react excel css azure,react nodejs mongodb javascript html css express,4,3,1,6.7,43.28
nodejs prompt engineering css javascript,react nodejs mongodb javascript html css express,5,0,3,9.3,51.29
transformers langchain vector database,python llm rag langchain transformers vector database prompt engineering,4,3,1,6.7,53.99
docker jenkins terraform gcp,docker kubernetes linux jenkins terraform github actions,2,1,3,8.1,53.05
react mongodb express nodejs javascript,react nodejs mongodb javascript html css express,1,2,3,7.4,69.77
power bi sql statistics python excel,python sql power bi excel tableau statistics data visualization,4,3,1,9.7,76.92
java dbms,java dsa oops dbms system design sql,1,3,2,8.6,43.3
linux aws terraform cloud security,aws azure gcp cloud security terraform linux,1,3,4,7.5,70.75
power bi sql tableau statistics data visualization python excel,python sql power bi excel tableau statistics data visualization,4,3,0,6.5,95.25
deep learning computer vision nlp tensorflow pytorch,python tensorflow pytorch deep learning nlp computer vision mlops,4,2,1,6.6,72.37
dsa computer vision nlp tensorflow,python tensorflow pytorch deep learning nlp computer vision mlops,2,3,1,9.2,51.24
azure cloud security linux aws gcp terraform,aws azure gcp cloud security terraform linux,5,1,4,9.3,98.65
power bi sql tableau statistics data visualization python excel,python sql power bi excel tableau statistics data visualization,1,0,4,6.7,86.35
rag power bi sql tableau jenkins data visualization python excel,python sql power bi excel tableau statistics data visualization,2,2,1,9.6,80.59
aws terraform gcp python pandas,aws azure gcp cloud security terraform linux,3,2,2,7.1,56.05
rag prompt engineering llm transformers python,python llm rag langchain transformers vector database prompt engineering,5,1,4,6.7,75.92
power bi linux mlops deep learning computer vision nlp pytorch tensorflow,python tensorflow pytorch deep learning nlp computer vision mlops,4,1,5,7.4,86.49
mlops deep learning nodejs prompt engineering,python tensorflow pytorch deep learning nlp computer vision mlops,5,0,4,8.8,41.83
mlops deep learning computer vision nlp pytorch,python tensorflow pytorch deep learning nlp computer vision mlops,1,2,2,9.5,69.32
linux azure,aws azure gcp cloud security terraform linux,1,3,4,8.7,46.35
cloud security aws terraform gcp mlops,aws azure gcp cloud security terraform linux,5,2,0,7.7,69.85
react css mongodb express javascript html,react nodejs mongodb javascript html css express,4,2,1,7.4,83.49
numpy gcp statistics machine learning python tensorflow,python machine learning statistics pandas numpy tensorflow data analysis,5,0,0,7.1,67.12
prompt engineering llm transformers java nlp vector database python,python llm rag langchain transformers vector database prompt engineering,2,1,5,7.1,71.62
rag prompt engineering linux llm langchain vector database,python llm rag langchain transformers vector database prompt engineering,2,1,2,7.3,67.22
power bi sql tableau statistics data visualization python excel,python sql power bi excel tableau statistics data visualization,5,2,5,9.4,100.0
power bi azure cloud security linux aws terraform gcp html,aws azure gcp cloud security terraform linux,3,3,5,8.4,100.0
docker terraform,docker kubernetes linux jenkins terraform github actions,4,2,5,8.4,50.7
mlops deep learning computer vision nlp tensorflow python pytorch,python tensorflow pytorch deep learning nlp computer vision mlops,2,2,0,7.7,88.85
mlops computer vision pytorch nlp python tensorflow,python tensorflow pytorch deep learning nlp computer vision mlops,5,1,0,7.0,70.07
data visualization nodejs power bi terraform,python sql power bi excel tableau statistics data visualization,5,0,2,7.5,38.18
cloud security linux gcp azure,aws azure gcp cloud security terraform linux,3,2,0,8.9,66.45
react css nodejs javascript html,react nodejs mongodb javascript html css express,3,0,1,8.5,65.32
rag python prompt engineering vector database,python llm rag langchain transformers vector database prompt engineering,2,2,2,7.0,59.36
azure aws linux gcp terraform,aws azure gcp cloud security terraform linux,4,1,3,7.1,81.55
power bi sql tableau aws statistics nlp python,python sql power bi excel tableau statistics data visualization,4,3,3,9.8,79.97
oops system design sql,java dsa oops dbms system design sql,3,2,3,8.5,58.25
github actions kubernetes docker linux terraform jenkins html,docker kubernetes linux jenkins terraform github actions,5,2,0,7.7,94.85
cloud security aws jenkins dbms,aws azure gcp cloud security terraform linux,1,3,4,7.9,45.95
power bi sql tableau statistics data visualization python excel,python sql power bi excel tableau statistics data visualization,4,3,0,9.1,96.55
aws mlops deep learning computer vision python tensorflow,python tensorflow pytorch deep learning nlp computer vision mlops,3,0,0,9.6,64.37
react css mongodb nodejs javascript html,react nodejs mongodb javascript html css express,1,3,2,9.6,83.09
power bi sql tableau statistics data visualization python excel,python sql power bi excel tableau statistics data visualization,3,0,0,8.1,85.05
react css nodejs tableau javascript html,react nodejs mongodb javascript html css express,2,2,4,8.5,73.82
power bi sql tableau prompt engineering langchain statistics data visualization excel,python sql power bi excel tableau statistics data visualization,1,2,5,9.4,84.49
github actions kubernetes docker linux terraform jenkins,docker kubernetes linux jenkins terraform github actions,4,0,0,7.1,86.55
statistics python jenkins,python machine learning statistics pandas numpy tensorflow data analysis,3,0,5,9.6,39.73
react css mongodb data analysis statistics javascript html,react nodejs mongodb javascript html css express,2,0,1,8.3,63.22
