skills,projects,internships,certifications,cgpa,target_role
data visualization sql python power bi statistics tableau,3,1,2,6.9,Data Analyst
sql data visualization excel tableau statistics,3,3,0,8.4,Data Analyst
kubernetes terraform docker jenkins linux github actions,1,3,2,7.3,DevOps Engineer
llm rag transformers prompt engineering langchain,2,3,5,9.7,AI Engineer
numpy statistics python pandas machine learning tensorflow data analysis,2,0,5,9.6,Data Scientist
fastapi python postgresql flask,5,2,4,7.2,Python Developer
pytorch nlp mlops deep learning python,1,3,4,8.1,ML Engineer
postgresql django fastapi python,2,0,5,9.0,Python Developer
terraform linux gcp aws,2,1,5,7.1,Cloud Engineer
flask postgresql python django fastapi,4,0,3,9.8,Python Developer
java rest api hibernate spring boot mysql,3,0,2,7.9,Java Developer
hibernate spring boot java rest api,4,1,3,7.9,Java Developer
postgresql fastapi python django flask,4,1,1,6.9,Python Developer
nlp pytorch computer vision mlops deep learning,1,2,2,8.4,ML Engineer
express nodejs react html css javascript,1,1,3,9.1,Full Stack Developer
django fastapi flask python,5,1,4,9.6,Python Developer
nlp deep learning pytorch computer vision tensorflow python mlops,3,3,2,6.7,ML Engineer
gcp linux aws terraform cloud security,2,1,5,6.7,Cloud Engineer
linux cloud security aws terraform azure gcp,1,2,3,7.4,Cloud Engineer
hibernate mysql rest api spring boot,5,1,2,7.8,Java Developer
system design sql oops dbms,3,3,2,8.9,Software Engineer
machine learning data analysis numpy tensorflow pandas statistics python,2,2,0,6.5,Data Scientist
mongodb nodejs express html react javascript css,2,1,5,9.4,Full Stack Developer
mlops python pytorch computer vision tensorflow,3,1,0,8.2,ML Engineer
python sql excel statistics tableau data visualization,1,0,3,7.3,Data Analyst
express html javascript nodejs,4,2,4,7.5,Full Stack Developer
llm python rag langchain gcp,5,3,5,8.4,AI Engineer
react html javascript nodejs,4,3,3,8.9,Full Stack Developer
computer vision nlp deep learning pytorch mlops,3,3,1,7.5,ML Engineer
dsa sql dbms java system design oops,3,0,4,9.0,Software Engineer
mongodb nodejs express css,5,3,3,7.3,Full Stack Developer
vector database transformers llm prompt engineering rag python langchain cloud security,4,2,4,9.7,AI Engineer
postgresql fastapi flask django,3,0,3,9.2,Python Developer
excel sql statistics power bi,3,3,0,9.7,Data Analyst
flask postgresql python django machine learning,2,2,2,6.6,Python Developer
sql tableau statistics python excel power bi data visualization,1,3,5,8.8,Data Analyst
python fastapi django flask,4,1,2,7.9,Python Developer
azure gcp cloud security terraform aws,5,1,0,8.6,Cloud Engineer
github actions jenkins terraform kubernetes docker linux,1,1,4,8.1,DevOps Engineer
tensorflow statistics data analysis machine learning numpy python,2,1,4,9.5,Data Scientist
linux terraform jenkins docker github actions kubernetes,1,1,0,8.8,DevOps Engineer
react nodejs html css mongodb,4,0,2,8.2,Full Stack Developer
nlp tensorflow python deep learning,4,1,2,8.5,ML Engineer
numpy statistics data analysis python pandas tensorflow machine learning,3,0,3,8.5,Data Scientist
data analysis tensorflow pandas numpy,2,1,1,7.8,Data Scientist
llm rag python transformers vector database css,5,0,2,7.4,AI Engineer
rest api hibernate mysql java,5,3,1,8.1,Java Developer
mlops pytorch python tensorflow,1,3,4,8.7,ML Engineer
tensorflow data analysis statistics machine learning pandas python numpy,3,0,5,6.7,Data Scientist
python statistics tableau excel data visualization power bi,1,1,2,9.4,Data Analyst
dsa system design dbms oops java,3,2,4,9.2,Software Engineer
machine learning numpy tensorflow pandas python data analysis,5,2,5,8.8,Data Scientist
sql dbms dsa system design oops java,5,0,3,7.7,Software Engineer
python deep learning pytorch mlops nlp,3,1,3,9.3,ML Engineer
tensorflow python mlops deep learning,2,1,3,7.7,ML Engineer
java oops sql dsa dbms system design,3,3,3,9.4,Software Engineer
python postgresql flask fastapi,2,1,1,8.5,Python Developer
jenkins terraform docker linux,5,1,5,8.2,DevOps Engineer
nlp deep learning tensorflow computer vision mlops pytorch python,4,1,4,9.3,ML Engineer
llm rag langchain python prompt engineering vector database transformers,5,1,0,9.7,AI Engineer
python pytorch nlp computer vision deep learning mlops,5,0,1,7.4,ML Engineer
pandas data analysis python numpy statistics tensorflow machine learning,5,0,4,8.3,Data Scientist
css express mongodb javascript,5,2,1,9.0,Full Stack Developer
terraform linux aws cloud security azure gcp,3,1,4,7.2,Cloud Engineer
react express css html,2,0,2,9.6,Full Stack Developer
machine learning python numpy data analysis tensorflow pandas statistics,1,3,4,9.4,Data Scientist
python mlops nlp tensorflow pytorch computer vision,3,0,5,9.6,ML Engineer
fastapi postgresql flask python django,5,1,5,9.6,Python Developer
python django fastapi postgresql flask,3,2,5,9.5,Python Developer
vector database langchain prompt engineering transformers rag python llm,5,3,2,8.6,AI Engineer
python pandas numpy tensorflow data analysis,4,3,3,7.6,Data Scientist
dbms dsa oops java,4,2,2,9.2,Software Engineer
tensorflow python pandas machine learning,4,3,2,8.2,Data Scientist
html mongodb react nodejs javascript css,5,2,4,8.8,Full Stack Developer
computer vision pytorch mlops tensorflow nlp,5,2,5,9.0,ML Engineer
terraform linux gcp aws,1,0,2,9.5,Cloud Engineer
python tensorflow deep learning pytorch,3,3,1,7.6,ML Engineer
transformers prompt engineering vector database rag langchain,3,0,4,7.4,AI Engineer
prompt engineering rag python llm vector database transformers java,2,0,0,6.7,AI Engineer
django python flask fastapi postgresql,5,1,3,8.0,Python Developer
nlp pytorch deep learning tensorflow llm,5,0,5,7.0,ML Engineer
jenkins github actions kubernetes linux,4,0,0,9.6,DevOps Engineer
prompt engineering rag langchain llm,5,0,4,9.1,AI Engineer
docker github actions linux kubernetes terraform jenkins,2,0,2,6.5,DevOps Engineer
tensorflow nlp pytorch deep learning,5,3,5,9.7,ML Engineer
sql dbms java dsa system design oops,5,3,0,7.1,Software Engineer
django python flask postgresql fastapi,5,3,3,9.5,Python Developer
terraform docker kubernetes jenkins,5,1,3,6.5,DevOps Engineer
cloud security aws gcp azure mysql,3,0,5,9.7,Cloud Engineer
express react javascript mongodb html nodejs css,4,3,2,8.4,Full Stack Developer
statistics power bi data visualization tableau,4,2,3,7.4,Data Analyst
linux azure terraform gcp cloud security aws nlp,1,0,4,7.7,Cloud Engineer
java rest api spring boot hibernate mlops,4,3,3,9.4,Java Developer
statistics excel power bi sql,4,3,1,6.5,Data Analyst
python pandas machine learning numpy statistics tensorflow,1,3,1,8.7,Data Scientist
tensorflow computer vision mlops pytorch deep learning nlp python,5,2,4,7.1,ML Engineer
css express mongodb react nodejs javascript,1,1,1,7.5,Full Stack Developer
linux gcp terraform aws azure data analysis,2,0,1,9.6,Cloud Engineer
kubernetes terraform linux jenkins github actions,1,2,0,9.5,DevOps Engineer
dsa dbms sql oops system design java,2,3,3,7.5,Software Engineer
numpy machine learning data analysis python tensorflow,2,3,4,9.3,Data Scientist
html css mongodb express nodejs,1,3,3,8.1,Full Stack Developer
rest api java hibernate mysql,1,3,2,8.8,Java Developer
github actions kubernetes docker linux jenkins,4,3,5,7.6,DevOps Engineer
python pandas statistics machine learning,5,0,3,7.4,Data Scientist
kubernetes jenkins linux docker github actions,2,0,5,9.5,DevOps Engineer
python llm prompt engineering transformers vector database langchain,2,2,5,8.3,AI Engineer
llm vector database langchain rag transformers python,2,3,1,7.5,AI Engineer
transformers rag llm langchain vector database prompt engineering,5,3,5,8.4,AI Engineer
pytorch nlp mlops tensorflow deep learning computer vision python,1,2,4,9.6,ML Engineer
statistics machine learning numpy tensorflow pandas python data analysis,3,3,4,7.0,Data Scientist
dsa sql java oops,1,2,0,9.5,Software Engineer
python flask django fastapi,3,2,5,8.2,Python Developer
java mysql hibernate spring boot,1,3,1,6.9,Java Developer
gcp linux cloud security aws terraform,1,1,2,9.6,Cloud Engineer
statistics python data visualization sql terraform,4,0,2,6.7,Data Analyst
transformers prompt engineering llm langchain,5,3,3,8.9,AI Engineer
java dbms sql dsa system design oops,4,3,1,6.9,Software Engineer
gcp aws azure terraform cloud security linux,2,2,0,8.0,Cloud Engineer
html react express mongodb nodejs css,4,1,2,6.7,Full Stack Developer
java dbms dsa oops css,1,1,4,8.0,Software Engineer
python tensorflow pytorch computer vision,5,3,3,9.8,ML Engineer
terraform azure aws gcp cloud security linux excel,2,0,0,9.7,Cloud Engineer
power bi sql tableau python statistics excel,1,1,0,8.7,Data Analyst
fastapi flask postgresql python,5,2,1,6.5,Python Developer
java spring boot rest api hibernate mysql,2,0,1,7.6,Java Developer
mysql java hibernate spring boot rest api,1,3,0,7.3,Java Developer
django fastapi flask python,3,1,4,7.5,Python Developer
java oops sql system design dbms,2,0,0,8.4,Software Engineer
python langchain prompt engineering llm,5,0,2,8.3,AI Engineer
docker github actions kubernetes terraform jenkins linux,4,3,1,6.9,DevOps Engineer
terraform azure gcp cloud security linux aws,4,1,3,9.5,Cloud Engineer
azure terraform cloud security gcp linux,1,1,4,8.2,Cloud Engineer
tensorflow deep learning pytorch computer vision mlops nlp python,4,2,5,7.1,ML Engineer
power bi sql statistics excel,3,3,0,8.3,Data Analyst
python statistics pandas data analysis machine learning,1,2,0,9.0,Data Scientist
mysql rest api java spring boot hibernate,5,2,1,7.7,Java Developer
power bi excel tableau sql statistics,3,1,3,9.4,Data Analyst
django fastapi flask python postgresql,2,0,5,7.8,Python Developer
github actions jenkins linux docker,1,1,2,8.1,DevOps Engineer
terraform linux gcp aws,1,1,5,9.6,Cloud Engineer
statistics excel power bi tableau python data visualization sql,2,3,3,7.2,Data Analyst
linux github actions terraform docker jenkins kubernetes,3,3,2,8.2,DevOps Engineer
mlops computer vision deep learning nlp python tensorflow pytorch,3,3,0,7.7,ML Engineer
azure aws terraform cloud security,5,0,0,7.4,Cloud Engineer
java oops system design dsa sql dbms,1,0,1,8.5,Software Engineer
langchain rag python vector database prompt engineering nlp,2,1,2,6.8,AI Engineer
vector database langchain python transformers rag,1,0,3,8.8,AI Engineer
java spring boot hibernate rest api mysql,3,1,4,7.4,Java Developer
terraform aws azure gcp cloud security,2,2,4,8.8,Cloud Engineer
java dbms sql oops flask,5,0,3,8.0,Software Engineer
mysql hibernate rest api java,3,3,5,8.3,Java Developer
data visualization python power bi excel sql statistics tableau,3,3,4,7.0,Data Analyst
python django postgresql fastapi flask,3,3,3,8.9,Python Developer
django fastapi flask postgresql,1,3,3,8.9,Python Developer
flask postgresql python fastapi django,3,1,1,8.7,Python Developer
javascript css html mongodb express nodejs react,5,3,1,8.6,Full Stack Developer
tensorflow pytorch mlops python nlp deep learning,5,1,5,6.7,ML Engineer
hibernate java rest api mysql,1,2,2,9.2,Java Developer
mlops deep learning computer vision tensorflow nlp,5,0,3,8.5,ML Engineer
python django flask fastapi postgresql,4,2,4,6.8,Python Developer
cloud security azure linux terraform aws,3,0,3,9.8,Cloud Engineer
azure gcp cloud security aws linux terraform,4,2,4,8.4,Cloud Engineer
react mongodb javascript nodejs express html,5,1,2,8.1,Full Stack Developer
azure terraform aws linux cloud security,1,1,1,6.5,Cloud Engineer
javascript mongodb css nodejs react html express,5,1,2,7.2,Full Stack Developer
machine learning numpy pandas data analysis,3,2,1,7.3,Data Scientist
oops java dbms system design,2,2,5,9.4,Software Engineer
tensorflow pytorch computer vision nlp deep learning python,4,1,5,7.3,ML Engineer
postgresql fastapi django python flask,2,2,1,6.7,Python Developer
linux kubernetes docker jenkins,1,1,3,9.7,DevOps Engineer
machine learning python pandas numpy statistics data analysis tensorflow,2,2,1,6.9,Data Scientist
python data analysis machine learning statistics jenkins,1,2,1,8.6,Data Scientist
cloud security terraform gcp azure aws,3,3,1,8.1,Cloud Engineer
prompt engineering transformers python vector database langchain llm rag,2,1,5,8.4,AI Engineer
aws linux cloud security azure computer vision,3,0,3,6.9,Cloud Engineer
flask python django fastapi,1,1,2,7.3,Python Developer
terraform linux kubernetes docker jenkins,5,1,3,7.8,DevOps Engineer
sql tableau data visualization power bi,3,3,5,9.3,Data Analyst
nodejs express mongodb react html,1,0,4,6.8,Full Stack Developer
azure aws cloud security linux gcp terraform,3,0,2,8.2,Cloud Engineer
dbms java oops system design dsa,4,3,3,8.6,Software Engineer
oops dbms sql java system design dsa,2,1,3,8.0,Software Engineer
dsa system design oops java sql dbms,5,1,3,7.5,Software Engineer
pytorch deep learning tensorflow python nlp,5,3,3,6.5,ML Engineer
tensorflow computer vision mlops deep learning nlp,1,2,4,8.8,ML Engineer
postgresql flask django python fastapi,1,1,0,9.5,Python Developer
django python postgresql fastapi,3,3,5,7.7,Python Developer
python postgresql flask django fastapi,3,2,2,7.6,Python Developer
hibernate mysql java rest api spring boot,4,2,4,6.7,Java Developer
react css nodejs html express javascript mongodb,5,0,0,7.9,Full Stack Developer
python data analysis machine learning statistics tensorflow numpy,4,0,0,7.7,Data Scientist
terraform linux kubernetes github actions,2,0,5,7.1,DevOps Engineer
hibernate mysql rest api spring boot java,5,1,2,7.3,Java Developer
nlp computer vision tensorflow deep learning pytorch mlops,3,1,2,8.7,ML Engineer
oops dsa sql dbms java system design,4,2,5,6.8,Software Engineer
express mongodb javascript react html nodejs,5,1,0,8.8,Full Stack Developer
github actions linux jenkins terraform kubernetes docker,2,3,2,7.1,DevOps Engineer
css javascript mongodb html express react nodejs,4,3,3,8.8,Full Stack Developer
java rest api mysql spring boot,2,3,5,9.7,Java Developer
python postgresql django fastapi,1,3,4,7.9,Python Developer
system design sql dsa dbms flask,2,3,3,6.9,Software Engineer
dbms sql oops dsa java system design,3,2,2,6.9,Software Engineer
linux jenkins github actions terraform data analysis,2,0,0,6.7,DevOps Engineer
fastapi postgresql python django,3,0,5,8.1,Python Developer
python llm transformers langchain rag prompt engineering,3,3,4,9.5,AI Engineer
transformers python prompt engineering langchain rag llm vector database,4,2,1,7.7,AI Engineer
azure gcp cloud security linux aws,4,0,0,7.5,Cloud Engineer
nodejs javascript react css mongodb express html,1,3,3,9.1,Full Stack Developer
css nodejs react javascript html mongodb,1,2,0,7.1,Full Stack Developer
java hibernate spring boot rest api,1,2,1,7.8,Java Developer
tensorflow nlp python mlops,3,1,1,6.5,ML Engineer
fastapi django python flask,3,0,4,9.2,Python Developer
machine learning pandas statistics tensorflow numpy aws,4,2,2,7.2,Data Scientist
aws azure linux terraform gcp,3,2,3,9.3,Cloud Engineer
machine learning statistics numpy pandas tensorflow,4,1,2,8.7,Data Scientist
java spring boot hibernate mysql,4,1,1,8.8,Java Developer
statistics numpy machine learning python,5,2,5,7.8,Data Scientist
computer vision tensorflow deep learning python pytorch nlp mlops,4,2,0,7.4,ML Engineer
linux terraform aws cloud security gcp deep learning,5,2,1,7.4,Cloud Engineer
cloud security aws azure linux css,2,3,2,6.8,Cloud Engineer
data analysis pandas tensorflow machine learning statistics python numpy,1,0,4,9.4,Data Scientist
fastapi django flask postgresql python,5,2,0,7.3,Python Developer
css html express javascript react,2,0,1,8.9,Full Stack Developer
power bi python excel tableau,3,2,1,9.3,Data Analyst
transformers python llm vector database rag,2,2,3,9.1,AI Engineer
terraform aws azure linux,2,2,4,7.7,Cloud Engineer
aws terraform linux cloud security,3,2,4,7.4,Cloud Engineer
linux terraform gcp azure aws cloud security,2,1,4,7.6,Cloud Engineer
machine learning statistics python numpy,2,1,3,9.2,Data Scientist
computer vision tensorflow python mlops nlp,3,2,3,8.7,ML Engineer
java hibernate spring boot rest api mysql,5,3,3,7.3,Java Developer
rest api mysql hibernate java spring boot,2,2,5,6.7,Java Developer
docker linux terraform github actions system design,5,0,0,7.9,DevOps Engineer
postgresql fastapi python flask,5,3,0,8.3,Python Developer
rest api mysql hibernate spring boot java,5,2,1,9.2,Java Developer
mysql spring boot hibernate java,5,1,4,8.5,Java Developer
express javascript react css mongodb nodejs pandas,5,3,1,8.4,Full Stack Developer
sql data visualization tableau python statistics,1,1,0,8.6,Data Analyst
python django flask fastapi,5,3,3,8.7,Python Developer
terraform linux aws gcp,4,0,3,7.8,Cloud Engineer
tensorflow deep learning nlp mlops pytorch,4,2,3,8.2,ML Engineer
pytorch python tensorflow mlops computer vision nlp deep learning,3,2,3,8.3,ML Engineer
data visualization statistics excel sql power bi rag,2,0,1,6.8,Data Analyst
dbms java system design dsa oops sql,1,1,2,7.3,Software Engineer
spring boot mysql rest api hibernate java,3,3,4,9.7,Java Developer
machine learning data analysis numpy pandas tensorflow python statistics hibernate,3,1,5,6.8,Data Scientist
mysql spring boot hibernate java,3,1,5,7.9,Java Developer
terraform linux kubernetes github actions docker jenkins,1,0,2,6.5,DevOps Engineer
data visualization statistics power bi python,4,3,0,8.5,Data Analyst
kubernetes jenkins docker github actions react,5,1,4,9.8,DevOps Engineer
statistics numpy data analysis pandas tensorflow,4,0,4,8.2,Data Scientist
excel data visualization python sql,1,2,3,8.5,Data Analyst
langchain vector database llm transformers,1,3,3,8.6,AI Engineer
javascript express react nodejs css,2,1,0,8.5,Full Stack Developer
oops dsa system design dbms java sql,2,3,4,8.8,Software Engineer
dsa sql dbms oops,3,0,4,6.8,Software Engineer
tensorflow nlp pytorch deep learning,4,2,1,9.1,ML Engineer
mlops pytorch nlp tensorflow deep learning python computer vision,5,0,3,8.1,ML Engineer
css react nodejs mongodb html express javascript,2,3,3,9.3,Full Stack Developer
pandas statistics data analysis machine learning numpy tensorflow python,2,3,0,8.1,Data Scientist
dsa oops sql java dbms system design,4,3,2,9.5,Software Engineer
linux gcp terraform azure cloud security aws,2,3,3,6.7,Cloud Engineer
fastapi python flask django postgresql,3,3,3,9.3,Python Developer
mysql hibernate rest api spring boot,2,2,2,9.0,Java Developer
prompt engineering rag transformers vector database llm python langchain system design,2,3,2,8.6,AI Engineer
linux github actions docker terraform jenkins,2,3,5,8.1,DevOps Engineer
terraform kubernetes docker linux github actions jenkins,4,3,4,8.6,DevOps Engineer
linux docker terraform github actions jenkins kubernetes,4,3,1,8.3,DevOps Engineer
css express mongodb javascript,2,2,3,6.9,Full Stack Developer
react nodejs javascript css,3,2,5,9.3,Full Stack Developer
mongodb html css react,5,3,5,7.6,Full Stack Developer
linux kubernetes terraform jenkins github actions,5,1,3,7.5,DevOps Engineer
python tensorflow machine learning statistics pandas mongodb,3,3,4,7.5,Data Scientist
python nlp tensorflow computer vision mlops,2,2,4,6.7,ML Engineer
langchain llm rag transformers azure,3,1,2,7.2,AI Engineer
java hibernate mysql rest api spring boot,1,3,5,7.2,Java Developer
django fastapi python postgresql,5,3,5,8.6,Python Developer
terraform jenkins github actions docker,2,1,0,7.7,DevOps Engineer
excel tableau statistics power bi sql python data visualization,2,1,5,9.1,Data Analyst
flask django fastapi python postgresql excel,4,3,1,8.3,Python Developer
rag vector database python transformers prompt engineering langchain llm,1,2,3,8.2,AI Engineer
sql tableau statistics python data visualization excel,5,2,0,7.0,Data Analyst
aws azure linux gcp,3,3,5,6.6,Cloud Engineer
azure gcp aws terraform cloud security linux,1,3,3,7.6,Cloud Engineer
python tensorflow pytorch nlp,4,1,5,7.8,ML Engineer
cloud security terraform linux azure gcp aws,5,3,5,8.6,Cloud Engineer
sql excel statistics power bi tableau python,2,3,5,7.9,Data Analyst
mongodb css html javascript nodejs express react,5,1,0,6.5,Full Stack Developer
langchain python llm rag vector database,4,1,1,8.3,AI Engineer
llm python transformers vector database langchain prompt engineering,3,3,3,8.6,AI Engineer
numpy statistics python data analysis spring boot,5,0,3,7.3,Data Scientist
tableau power bi excel sql data visualization python,1,1,4,8.6,Data Analyst
dsa system design dbms oops sql,1,3,5,9.7,Software Engineer
fastapi django postgresql flask,4,2,1,8.7,Python Developer
dbms java dsa oops sql system design,2,3,3,8.9,Software Engineer
statistics tableau power bi excel sql,5,0,0,9.6,Data Analyst
vector database prompt engineering transformers rag oops,4,2,5,9.7,AI Engineer
python tensorflow pytorch computer vision deep learning mlops,5,1,0,7.3,ML Engineer
express javascript mongodb nodejs,1,1,5,7.7,Full Stack Developer
power bi tableau data visualization sql excel python statistics,3,2,5,9.7,Data Analyst
tensorflow pytorch mlops nlp deep learning computer vision python,3,2,4,8.0,ML Engineer
python fastapi django flask postgresql,2,1,3,9.0,Python Developer
tensorflow machine learning statistics data analysis python pandas,1,3,5,9.4,Data Scientist
css nodejs mongodb express javascript react,3,3,1,6.8,Full Stack Developer
deep learning nlp python pytorch computer vision tensorflow,3,0,4,9.3,ML Engineer
mongodb javascript express nodejs react,5,2,2,7.8,Full Stack Developer
postgresql django flask fastapi,2,0,1,7.2,Python Developer
llm vector database prompt engineering rag,1,2,3,8.3,AI Engineer
excel data visualization power bi sql python tableau,5,0,0,9.7,Data Analyst
system design dbms java oops dsa sql,5,1,3,8.6,Software Engineer
transformers llm vector database prompt engineering langchain,1,0,5,8.6,AI Engineer
system design sql oops dbms java dsa,2,3,4,7.2,Software Engineer
numpy tensorflow python data analysis statistics machine learning pandas,5,0,2,9.6,Data Scientist
java dsa oops sql dbms,1,0,1,9.0,Software Engineer
tensorflow numpy statistics python data analysis,4,3,3,7.6,Data Scientist
tensorflow nlp pytorch python computer vision deep learning mlops,1,1,3,9.6,ML Engineer
spring boot java rest api mysql hibernate,1,2,2,8.4,Java Developer
langchain transformers prompt engineering vector database,5,1,4,8.6,AI Engineer
express javascript html react css mongodb nodejs spring boot,4,2,1,9.3,Full Stack Developer
spring boot mysql rest api java hibernate,3,2,1,7.1,Java Developer
machine learning statistics pandas data analysis numpy python,2,2,3,7.0,Data Scientist
python transformers llm rag prompt engineering vector database,1,0,0,9.6,AI Engineer
excel python data visualization power bi statistics,2,1,5,7.5,Data Analyst
django postgresql fastapi python machine learning,1,0,3,9.1,Python Developer
pandas numpy statistics python tensorflow machine learning,5,3,4,7.5,Data Scientist
tableau python excel statistics power bi data visualization,4,1,1,9.3,Data Analyst
excel statistics python sql data visualization power bi,1,0,0,8.4,Data Analyst
nlp mlops computer vision tensorflow deep learning pytorch dsa,3,3,0,6.5,ML Engineer
python excel tableau data visualization,4,3,3,9.6,Data Analyst
prompt engineering rag python vector database azure,1,0,5,7.9,AI Engineer
postgresql python django fastapi,2,0,0,8.7,Python Developer
python flask postgresql django,2,2,4,8.6,Python Developer
react nodejs express mongodb javascript css,3,2,5,8.9,Full Stack Developer
fastapi python flask postgresql,2,1,0,8.2,Python Developer
terraform github actions linux docker kubernetes,3,3,5,7.4,DevOps Engineer
deep learning tensorflow mlops pytorch nlp computer vision,5,0,0,9.2,ML Engineer
linux docker github actions terraform,2,3,3,6.6,DevOps Engineer
python statistics data visualization power bi sql excel tableau,2,1,3,8.6,Data Analyst
mysql spring boot rest api hibernate,1,0,0,7.5,Java Developer
github actions docker terraform jenkins linux kubernetes,1,0,1,7.6,DevOps Engineer
dbms dsa sql system design oops java,5,1,4,9.3,Software Engineer
python fastapi flask postgresql,5,0,4,6.7,Python Developer
github actions linux jenkins docker,4,3,3,7.5,DevOps Engineer
mlops python nlp tensorflow computer vision pytorch deep learning,1,1,4,7.6,ML Engineer
data analysis pandas python machine learning,3,3,4,7.5,Data Scientist
django fastapi flask python postgresql tableau,3,0,0,7.3,Python Developer
linux cloud security aws gcp azure terraform,5,0,4,7.0,Cloud Engineer
java spring boot rest api mysql,4,2,0,8.6,Java Developer
aws gcp linux cloud security terraform,2,0,1,8.5,Cloud Engineer
mongodb javascript css html express nodejs,2,3,0,7.2,Full Stack Developer
python rag langchain vector database,1,3,3,8.1,AI Engineer
python flask fastapi django,5,0,2,9.0,Python Developer
numpy tensorflow statistics python machine learning data analysis pandas jenkins,3,2,5,7.4,Data Scientist
postgresql django python flask,3,2,2,8.6,Python Developer
spring boot mysql java rest api,3,2,2,7.7,Java Developer
express nodejs css mongodb,5,3,5,6.7,Full Stack Developer
statistics pandas data analysis python numpy machine learning,1,1,2,7.7,Data Scientist
computer vision deep learning nlp python pytorch tensorflow,2,3,4,9.1,ML Engineer
aws cloud security linux gcp azure,5,2,3,8.4,Cloud Engineer
postgresql flask python django,5,3,2,8.7,Python Developer
tensorflow python numpy statistics data analysis,4,0,2,8.6,Data Scientist
nlp pytorch python computer vision deep learning tensorflow mlops,2,1,5,8.7,ML Engineer
llm python prompt engineering rag transformers,5,3,0,8.5,AI Engineer
machine learning numpy statistics pandas python tensorflow data analysis,3,2,3,6.7,Data Scientist
python nlp mlops pytorch,4,2,0,7.7,ML Engineer
sql system design oops java dbms,4,2,1,8.1,Software Engineer
power bi tableau python excel postgresql,2,3,1,8.0,Data Analyst
postgresql fastapi python django,5,1,3,8.7,Python Developer
python prompt engineering rag llm vector database transformers langchain,4,1,1,7.5,AI Engineer
dbms sql system design java oops,2,0,1,7.4,Software Engineer
mysql rest api hibernate java spring boot nlp,3,1,2,9.2,Java Developer
java oops dbms sql system design,3,2,2,8.5,Software Engineer
mongodb nodejs express react html css javascript,3,2,3,7.2,Full Stack Developer
linux aws cloud security azure,2,0,3,7.0,Cloud Engineer
oops dsa java sql dbms system design,5,2,1,8.0,Software Engineer
rest api java hibernate spring boot mysql,1,2,4,9.1,Java Developer
pandas tensorflow numpy statistics machine learning,5,1,3,8.6,Data Scientist
dsa sql oops java,2,2,2,6.5,Software Engineer
tensorflow deep learning pytorch nlp mlops,5,2,1,7.2,ML Engineer
postgresql fastapi django flask python,2,0,4,8.5,Python Developer
spring boot java mysql hibernate rest api,4,0,2,8.7,Java Developer
statistics pandas machine learning tensorflow,3,0,2,8.2,Data Scientist
transformers langchain vector database llm,3,1,1,7.8,AI Engineer
hibernate mysql spring boot rest api java,4,2,1,7.5,Java Developer
power bi statistics data visualization excel sql,3,1,4,9.7,Data Analyst
sql power bi data visualization excel tableau,5,0,3,8.8,Data Analyst
cloud security terraform azure linux,1,2,0,7.4,Cloud Engineer
dsa oops java dbms system design,2,0,1,9.4,Software Engineer
data analysis pandas machine learning python tensorflow numpy statistics,3,2,0,6.8,Data Scientist
github actions docker kubernetes terraform linux,4,0,1,8.8,DevOps Engineer
python llm prompt engineering rag langchain,2,1,2,9.2,AI Engineer
java oops sql dbms system design dsa,2,0,4,7.5,Software Engineer
kubernetes linux docker terraform github actions jenkins,1,3,3,7.8,DevOps Engineer
python data analysis tensorflow statistics numpy,3,0,2,8.1,Data Scientist
html javascript nodejs mongodb css express react,2,3,3,9.4,Full Stack Developer
excel tableau power bi statistics python sql data visualization,5,0,2,8.9,Data Analyst
gcp azure aws linux terraform,3,0,1,7.1,Cloud Engineer
postgresql python django flask fastapi react,4,1,5,9.8,Python Developer
terraform github actions docker jenkins,3,3,5,6.8,DevOps Engineer
css nodejs express javascript,2,0,5,6.8,Full Stack Developer
mysql rest api hibernate java,3,0,5,8.7,Java Developer
fastapi postgresql python django,5,0,4,8.1,Python Developer
terraform cloud security aws azure linux gcp,2,0,2,6.5,Cloud Engineer
python prompt engineering langchain vector database llm rag transformers pandas,1,2,3,7.2,AI Engineer
github actions jenkins terraform linux,5,2,2,6.9,DevOps Engineer
dbms system design oops dsa java,1,2,4,7.2,Software Engineer
oops sql java dbms system design,1,3,1,7.5,Software Engineer
tableau excel statistics python sql,3,3,4,8.5,Data Analyst
docker linux github actions terraform kubernetes,1,3,3,7.7,DevOps Engineer
nodejs javascript css react,1,3,4,8.5,Full Stack Developer
machine learning statistics pandas data analysis numpy python tensorflow,4,2,5,6.6,Data Scientist
dsa java sql oops dbms system design,4,2,2,9.0,Software Engineer
postgresql python flask fastapi django,4,3,0,8.9,Python Developer
data analysis statistics machine learning python numpy tensorflow pandas,1,1,3,7.3,Data Scientist
rag transformers llm prompt engineering,2,1,2,9.1,AI Engineer
transformers python llm langchain,4,3,2,8.8,AI Engineer
system design dbms oops java dsa,2,2,4,9.5,Software Engineer
java oops dbms dsa system design sql,5,2,5,8.2,Software Engineer
statistics power bi data visualization python excel sql,2,3,0,7.7,Data Analyst
hibernate rest api mysql java spring boot,3,1,1,8.9,Java Developer
data analysis python tensorflow machine learning numpy pandas,4,3,1,9.1,Data Scientist
hibernate mysql rest api java transformers,5,3,2,7.0,Java Developer
java oops system design dsa,5,0,0,8.4,Software Engineer
